date,remittance,exchange_rate,oil_price,dofe_departures
8/1/2012,33812.1,89.05,105.273637,45417
9/1/2012,31564.2,87.53,106.2849649,38297
10/1/2012,32341.1,84.9,103.4078656,47067
11/1/2012,29631.2,87.94,101.1744156,34990
12/1/2012,36138.7,86.91,101.1936667,54304
1/1/2013,34211.3,87.4,105.1002165,57951
2/1/2013,27362.2,85.6,107.6374357,51516
3/1/2013,41026,87.16,102.5225,55439
4/1/2013,36494.8,87.16,98.8519697,58054
5/1/2013,40065.5,87.91,99.36663341,54818
6/1/2013,45815.2,93.02,99.74266667,58937
7/1/2013,46119.4,95.3,105.2579051,59707
8/1/2013,41867.3,98.26,108.1576364,54134
9/1/2013,46168.5,101.59,108.7577302,32607
10/1/2013,46998.1,99.23967742,105.4271344,40514
11/1/2013,43860.2,101.03,102.6264912,46442
12/1/2013,42283.1,99.41,105.4816508,60756
1/1/2014,44446.4,98.44,102.0966667,67186
2/1/2014,46283.1,99.56,104.8266667,51944
3/1/2014,44816.5,97.88,104.04,66988
4/1/2014,41075.7,96.29,104.8666667,65010
5/1/2014,46678.2,95.5,105.7133333,75759
6/1/2014,46475.7,95.62,108.3733333,68265
7/1/2014,52341.3,96.2,105.2266667,74487
8/1/2014,42193.5,97.22,100.05,52127
9/1/2014,42285.4,97.82,95.85,63339
10/1/2014,49711,98.94,86.08,48695
11/1/2014,46151.4,98.76,76.99333333,65118
12/1/2014,46862.4,99.67,60.70333333,72797
1/1/2015,48755.7,99.43,47.10666667,63250
2/1/2015,44975.2,99.61,54.79,64244
3/1/2015,50060.9,100.75,52.82666667,62012
4/1/2015,55194.4,99.7,57.54333333,73834
5/1/2015,62879,102.46,62.50666667,47086
6/1/2015,62673.3,102.5,61.30666667,60886
7/1/2015,65536.6,101.44,54.34,26600
8/1/2015,53272.4,104.01,45.69,51665
9/1/2015,54396,106.22,46.28,52671
10/1/2015,58752.7,103.79,46.95666667,50554
11/1/2015,48966.8,105.76,43.11333333,40685
12/1/2015,55983.3,107.3,36.57333333,67981
1/1/2016,52321.3,106.9,29.78,60173
2/1/2016,51463.3,109.18,31.03,54090
3/1/2016,52217.2,107.53,37.34,57470
4/1/2016,54312.7,106.22,40.75,55316
5/1/2016,57187.7,106.57,45.93666667,58960
6/1/2016,60076.8,107.38,47.68666667,58688
7/1/2016,66114.14822,107.03,44.12666667,48558
8/1/2016,51940.19543,107.02,44.87666667,51107
9/1/2016,62799.58159,107.15,45.04333333,49312
10/1/2016,57057.09419,106.79,49.29333333,42208
11/1/2016,60340.92879,107.61,45.26,59182
12/1/2016,55526.4,108,52.62,65891
1/1/2017,54569.26462,108.84,53.59,53798
2/1/2017,52333.63517,106.93,54.35333333,57513
3/1/2017,55424.48112,106.57,50.90333333,55969
4/1/2017,61939.9471,103.4,52.16333333,70719
5/1/2017,55040.31207,102.91,49.89333333,54337
6/1/2017,66447.89218,103.07,46.16666667,58710
7/1/2017,62032.66359,103.16,47.65666667,40484
8/1/2017,55552.81899,102.59,49.94333333,46382
9/1/2017,59998.89111,102.52,52.95,51076
10/1/2017,60772.01437,103.59,54.92,49133
11/1/2017,52625.99366,104.34,59.93333333,60573
12/1/2017,56530.98859,102.95,61.18666667,52792
1/1/2018,55062.76642,101.82,66.22666667,53121
2/1/2018,60805.56038,103.04,63.46,52452
3/1/2018,70506.39791,103.83,64.16666667,53219
4/1/2018,68521.48308,104.42,68.79333333,60205
5/1/2018,66303.09024,107.73,73.43,56493
6/1/2018,73051.01493,108.24,71.97666667,50796
7/1/2018,75327.56425,109.64,72.66666667,34383
8/1/2018,73954.19424,111.84,71.08333333,36899
9/1/2018,80247.67993,114.96,75.36333333,31987
10/1/2018,87969.79671,117.54,76.72666667,42879
11/1/2018,70087.21483,115.18,62.31666667,37804
12/1/2018,64323.50797,115.04,53.96,49197
1/1/2019,66773.33292,112.78,56.58333333,50767
2/1/2019,72199.73136,113.88,61.13333333,41861
3/1/2019,66636.71923,111.26,63.78666667,45107
4/1/2019,70996.63973,110.65,68.57666667,45989
5/1/2019,72201.08277,112.86,66.83333333,49460
6/1/2019,73722.3849,111.69,59.76,44395
7/1/2019,80254.86489,109.66,61.47666667,40141
8/1/2019,75401.47188,113.85,57.67,32577
9/1/2019,77949.9359,114.56,60.04,39388
10/1/2019,76510.54872,114.3,57.27333333,37106
11/1/2019,73798.24879,114.86,60.40333333,51499
12/1/2019,72019.68632,113.3,63.35333333,57297
1/1/2020,70273.51505,113.38,61.62666667,53006
2/1/2020,65986.03995,114.06,53.34666667,48970
3/1/2020,79252.83967,118.74,32.20333333,49588
4/1/2020,34516.80846,122.06,21.04333333,0
5/1/2020,53971.84456,120.81,30.38,0
6/1/2020,93977.56417,121.35,39.45666667,0
7/1/2020,101368.4533,120.67,42.06666667,2494
8/1/2020,92742.76005,119.85,43.44333333,3152
9/1/2020,73027.70617,117.84,40.59666667,1525
10/1/2020,93170.52923,117.42,39.9,8097
11/1/2020,78877.00641,119.37,42.30333333,7797
12/1/2020,79143.62114,117.83,48.72666667,10591
1/1/2021,78509.78766,117.22,53.60333333,12431
2/1/2021,72418.96379,116.57,60.46333333,14753
3/1/2021,74442.0078,116.46,63.83,17887
4/1/2021,86886.86899,120.1,62.95,19808
5/1/2021,81038.30328,117.48,66.4,32142
6/1/2021,61044.97226,116.92,71.80333333,24363
7/1/2021,89752.0505,119.34,73.28333333,4086
8/1/2021,76625.3523,118.8,68.86666667,25428
9/1/2021,79530.94867,117.59,72.8,36040
10/1/2021,84484.82549,120.42,82.06333333,39671
11/1/2021,73370.44867,119.18,79.91666667,54966
12/1/2021,76498.5325,121.39,72.86666667,74557
1/1/2022,80209.47019,118.22,83.92,67063
2/1/2022,72136.74705,120.62,93.54333333,54702
3/1/2022,91069.93655,122.55,112.3966667,53735
4/1/2022,93553.05244,121.82,103.4133333,56498
5/1/2022,87050.76069,123.93,110.0966667,46104
6/1/2022,92387.19722,124.86,116.8,63694
7/1/2022,100389.6024,127.81,105.0833333,64655
8/1/2022,94498.7559,127.46,95.97333333,64930
9/1/2022,97857.80243,127.52,88.22,78157
10/1/2022,97982.35856,131.77,90.32666667,62706
