date,remittance,exchange_rate,oil_price,dofe_departures,dofe_lag3,dofe_lag6,dofe_lag9,covid_shock
2013-05-01,40065.5,87.91,99.36663341489,54818.0,51516.0,34990.0,45417.0,0
2013-06-01,45815.20000000001,93.02,99.74266666667,58937.0,55439.0,54304.0,38297.0,0
2013-07-01,46119.40000000002,95.3,105.25790513834,59707.0,58054.0,57951.0,47067.0,0
2013-08-01,41867.3,98.26,108.15763636364,54134.0,54818.0,51516.0,34990.0,0
2013-09-01,46168.5,101.59,108.75773015873,32607.0,58937.0,55439.0,54304.0,0
2013-10-01,46998.09999999999,99.23967741935483,105.42713438735,40514.0,59707.0,58054.0,57951.0,0
2013-11-01,43860.20000000001,101.03,102.62649122807,46442.0,54134.0,54818.0,51516.0,0
2013-12-01,42283.09999999998,99.41,105.48165079365,60756.0,32607.0,58937.0,55439.0,0
2014-01-01,44446.40000000005,98.44,102.09666666667,67186.0,40514.0,59707.0,58054.0,0
2014-02-01,46283.09999999998,99.56,104.82666666667,51944.0,46442.0,54134.0,54818.0,0
2014-03-01,44816.5,97.88,104.04,66988.0,60756.0,32607.0,58937.0,0
2014-04-01,41075.70000000001,96.29,104.86666666667,65010.0,67186.0,40514.0,59707.0,0
2014-05-01,46678.19999999995,95.5,105.71333333333,75759.0,51944.0,46442.0,54134.0,0
2014-06-01,46475.70000000001,95.62,108.37333333333,68265.0,66988.0,60756.0,32607.0,0
2014-07-01,52341.300000000105,96.2,105.22666666667,74487.0,65010.0,67186.0,40514.0,0
2014-08-01,42193.5,97.22,100.05,52127.0,75759.0,51944.0,46442.0,0
2014-09-01,42285.4,97.82,95.85,63339.0,68265.0,66988.0,60756.0,0
2014-10-01,49711.0,98.94,86.08,48695.0,74487.0,65010.0,67186.0,0
2014-11-01,46151.40000000002,98.76,76.99333333333,65118.0,52127.0,75759.0,51944.0,0
2014-12-01,46862.4,99.67,60.70333333333,72797.0,63339.0,68265.0,66988.0,0
2015-01-01,48755.70000000001,99.43,47.10666666667,63250.0,48695.0,74487.0,65010.0,0
2015-02-01,44975.20000000001,99.61,54.79,64244.0,65118.0,52127.0,75759.0,0
2015-03-01,50060.90000000002,100.75,52.82666666667,62012.0,72797.0,63339.0,68265.0,0
2015-04-01,55194.399999999965,99.7,57.54333333333,73834.0,63250.0,48695.0,74487.0,0
2015-05-01,62879.00000000006,102.46,62.50666666667,47086.0,64244.0,65118.0,52127.0,0
2015-06-01,62673.29999999999,102.5,61.30666666667,60886.0,62012.0,72797.0,63339.0,0
2015-07-01,65536.59999999998,101.44,54.34,26600.0,73834.0,63250.0,48695.0,0
2015-08-01,53272.4,104.01,45.69,51665.0,47086.0,64244.0,65118.0,0
2015-09-01,54395.99999999999,106.22,46.28,52671.0,60886.0,62012.0,72797.0,0
2015-10-01,58752.70000000001,103.79,46.95666666667,50554.0,26600.0,73834.0,63250.0,0
2015-11-01,48966.79999999999,105.76,43.11333333333,40685.0,51665.0,47086.0,64244.0,0
2015-12-01,55983.30000000002,107.3,36.57333333333,67981.0,52671.0,60886.0,62012.0,0
2016-01-01,52321.29999999999,106.9,29.78,60173.0,50554.0,26600.0,73834.0,0
2016-02-01,51463.29999999999,109.18,31.03,54090.0,40685.0,51665.0,47086.0,0
2016-03-01,52217.20000000001,107.53,37.34,57470.0,67981.0,52671.0,60886.0,0
2016-04-01,54312.70000000007,106.22,40.75,55316.0,60173.0,50554.0,26600.0,0
2016-05-01,57187.69999999995,106.57,45.93666666667,58960.0,54090.0,40685.0,51665.0,0
2016-06-01,60076.80000000005,107.38,47.68666666667,58688.0,57470.0,67981.0,52671.0,0
2016-07-01,66114.14822111628,107.03,44.12666666667,48558.0,55316.0,60173.0,50554.0,0
2016-08-01,51940.19543054203,107.02,44.87666666667,51107.0,58960.0,54090.0,40685.0,0
2016-09-01,62799.5815927571,107.15,45.04333333333,49312.0,58688.0,57470.0,67981.0,0
2016-10-01,57057.09418636473,106.79,49.29333333333,42208.0,48558.0,55316.0,60173.0,0
2016-11-01,60340.928790336126,107.61,45.26,59182.0,51107.0,58960.0,54090.0,0
2016-12-01,55526.40000000002,108.0,52.62,65891.0,49312.0,58688.0,57470.0,0
2017-01-01,54569.26462058182,108.84,53.59,53798.0,42208.0,48558.0,55316.0,0
2017-02-01,52333.63517272228,106.93,54.35333333333,57513.0,59182.0,51107.0,58960.0,0
2017-03-01,55424.48112232331,106.57,50.90333333333,55969.0,65891.0,49312.0,58688.0,0
2017-04-01,61939.94710350782,103.4,52.16333333333,70719.0,53798.0,42208.0,48558.0,0
2017-05-01,55040.31206747599,102.91,49.89333333333,54337.0,57513.0,59182.0,51107.0,0
2017-06-01,66447.89217857143,103.07,46.16666666667,58710.0,55969.0,65891.0,49312.0,0
